FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.13934969,13934969,POINT (16.25702731217803 48.133930069446386),Willergasse/Schule,Willergasse/Schule,"250,253,60A,N60,N61",,13,https://anachb.vor.at?P=SQ&input=Wien%20Willergasse/Schule&start=1,
OEFFHALTESTOGD.13934970,13934970,POINT (16.25726981288714 48.13395996987363),Willergasse/Schule,Willergasse/Schule,"253,257,60A,N61",,12,https://anachb.vor.at?P=SQ&input=Wien%20Willergasse/Schule&start=1,
OEFFHALTESTOGD.13934971,13934971,POINT (16.25726981288714 48.13395996987363),Willergasse/Schule,Willergasse/Schule,"253,257,60A,N61",,13,https://anachb.vor.at?P=SQ&input=Wien%20Willergasse/Schule&start=1,
OEFFHALTESTOGD.13934972,13934972,POINT (16.251179312154807 48.13719136939861),Haselbrunnerstraße,Haselbrunnerstraße,"250,253,N61",,12,https://anachb.vor.at?P=SQ&input=Wien%20Haselbrunnerstraße&start=1,
OEFFHALTESTOGD.13934973,13934973,POINT (16.26711541184134 48.13586046962409),Kaiser-Franz-Josef-Straße,Kaiser-Franz-Josef-Straße,"60A,N61",,12,https://anachb.vor.at?P=SQ&input=Wien%20Kaiser-Franz-Josef-Straße&start=1,
OEFFHALTESTOGD.13934974,13934974,POINT (16.26711541184134 48.13586046962409),Kaiser-Franz-Josef-Straße,Kaiser-Franz-Josef-Straße,"60A,N61",,13,https://anachb.vor.at?P=SQ&input=Wien%20Kaiser-Franz-Josef-Straße&start=1,
OEFFHALTESTOGD.13934975,13934975,POINT (16.266432711757627 48.135944369242516),Kaiser-Franz-Josef-Straße,Kaiser-Franz-Josef-Straße,"60A,N61",,12,https://anachb.vor.at?P=SQ&input=Wien%20Kaiser-Franz-Josef-Straße&start=1,
OEFFHALTESTOGD.13934976,13934976,POINT (16.266432711757627 48.135944369242516),Kaiser-Franz-Josef-Straße,Kaiser-Franz-Josef-Straße,"60A,N61",,13,https://anachb.vor.at?P=SQ&input=Wien%20Kaiser-Franz-Josef-Straße&start=1,
OEFFHALTESTOGD.13934977,13934977,POINT (16.257314811677908 48.138060569208946),Breitenfurter Straße/Willergasse,Breitenfurter Straße/Willergasse,"250,253,257,N61",,12,https://anachb.vor.at?P=SQ&input=Wien%20Breitenfurter%20Straße/Willergasse&start=1,
OEFFHALTESTOGD.13934978,13934978,POINT (16.257314811677908 48.138060569208946),Breitenfurter Straße/Willergasse,Breitenfurter Straße/Willergasse,"250,253,257,N61",,13,https://anachb.vor.at?P=SQ&input=Wien%20Breitenfurter%20Straße/Willergasse&start=1,
OEFFHALTESTOGD.13934979,13934979,POINT (16.256668012251314 48.137838770063986),Breitenfurter Straße/Willergasse,Breitenfurter Straße/Willergasse,"250,253,N61",,12,https://anachb.vor.at?P=SQ&input=Wien%20Breitenfurter%20Straße/Willergasse&start=1,
OEFFHALTESTOGD.13934980,13934980,POINT (16.256668012251314 48.137838770063986),Breitenfurter Straße/Willergasse,Breitenfurter Straße/Willergasse,"250,253,N61",,13,https://anachb.vor.at?P=SQ&input=Wien%20Breitenfurter%20Straße/Willergasse&start=1,
OEFFHALTESTOGD.13934981,13934981,POINT (16.241297812693823 48.13821046968201),Gütenbachstraße,Gütenbachstraße,"250,N61",,12,https://anachb.vor.at?P=SQ&input=Wien%20Gütenbachstraße&start=1,
